split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-03,btcusdt,buy,1,2728280,8628044110.7834,0.020504683152350343,-0.08297347038918215
train,2025-12-03,btcusdt,sell,1,2706619,8455001143.4244,-0.1415694216753732,-0.14459289969838765
train,2025-12-03,btcusdt,buy,5,2728280,8628044110.7834,0.1062291823534531,-0.14255308491386134
train,2025-12-03,btcusdt,sell,5,2706619,8455001143.4244,-0.3489862521550129,-0.3300348124115626
train,2025-12-03,btcusdt,buy,10,2728280,8628044110.7834,0.2455583154396716,-0.08499944581145602
train,2025-12-03,btcusdt,sell,10,2706619,8455001143.4244,-0.4196372652385558,-0.3618789318536491
train,2025-12-03,btcusdt,buy,30,2728280,8628044110.7834,0.5166914551033869,0.12880862054611406
train,2025-12-03,btcusdt,sell,30,2706618,8455000489.7063,-0.7014052684754202,-0.5060182975635183
train,2025-12-03,btcusdt,buy,60,2728279,8628035705.8994,0.7619001642367745,0.1660182529787806
train,2025-12-03,btcusdt,sell,60,2706619,8455001143.4244,-1.2709563847676473,-0.7741420313608509
train,2025-12-03,btcusdt,buy,120,2728280,8628044110.7834,1.4836473785148134,0.3982910047633776
train,2025-12-03,btcusdt,sell,120,2706619,8455001143.4244,-1.368087385927881,-0.6968970456566969
train,2025-12-03,btcusdt,buy,300,2728280,8628044110.7834,2.353184365959188,0.5520611240290235
train,2025-12-03,btcusdt,sell,300,2706618,8454991785.5444,-0.9445186228169415,-0.1673750929389646
train,2025-12-04,btcusdt,buy,1,2069847,6293581903.014401,-0.06453715698444927,-0.082576268008591
train,2025-12-04,btcusdt,sell,1,2093986,6440703155.0178,-0.002829297908902489,-0.07004856471544971
train,2025-12-04,btcusdt,buy,5,2069846,6293581435.801802,-0.2558125735263748,-0.2678116184691835
train,2025-12-04,btcusdt,sell,5,2094053,6440818935.075,-0.10923045885544766,-0.18444828496100507
train,2025-12-04,btcusdt,buy,10,2069849,6293587505.293801,-0.2428324759409558,-0.2706558402726285
train,2025-12-04,btcusdt,sell,10,2094053,6440818935.075,-0.15116726379382914,-0.23677491797436248
train,2025-12-04,btcusdt,buy,30,2069849,6293587505.293801,-0.07740648135367469,-0.14898718850830472
train,2025-12-04,btcusdt,sell,30,2094053,6440818935.075,-0.4738983658398958,-0.42246510267637216
