asof_mode,split,date,symbol,side,price_location,rows,share_within_side
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,at_ask,1006418,0.3688836922896477
same_timestamp_allowed,train,2025-12-03,btcusdt,buy,inside_spread,9860,0.003613998563197326
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,inside_spread,9962,0.0036513847552304014
same_timestamp_allowed,train,2025-12-03,btcusdt,buy,at_bid,2535,0.0009291568314102658
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,at_bid,2600,0.0009529813655489906
same_timestamp_allowed,train,2025-12-03,btcusdt,buy,below_bid,33210,0.012172504288416146
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,below_bid,34095,0.012496884483997243
same_timestamp_allowed,train,2025-12-03,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-03,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-03,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,above_ask,35058,0.012952691161925635
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,above_ask,36047,0.013318091685604808
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,at_ask,2536,0.0009369623134988707
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,at_ask,2598,0.0009598691208478179
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,inside_spread,9338,0.00345006075845917
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,inside_spread,9536,0.0035232147561219365
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,at_bid,1033856,0.3819732293315018
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,at_bid,1024552,0.37853573037062105
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,below_bid,1625831,0.6006870564346145
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,below_bid,1633886,0.6036630940668044
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-03,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-03,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,above_ask,1229565,0.5940360866903818
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,above_ask,1236489,0.5973812582463744
same_timestamp_allowed,train,2025-12-04,btcusdt,buy,at_ask,812775,0.3926735718402647
strictly_previous_bbo,train,2025-12-04,btcusdt,buy,at_ask,805119,0.38897475129828313
