split,symbol,side,venue,window_seconds,signed_liq_bucket,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,btcusdt,buy,binance,1,zero,30,97770378,309562648373.7532,-0.22018957036553546,-0.25534906519636336
train,btcusdt,buy,binance,1,pos_1e2,30,1562121,7441989955.597393,1.0712597364987833,0.8423698719222736
train,btcusdt,buy,binance,1,pos_1e3,30,1618600,8124816472.314397,0.1447966977541738,-0.07893719658458687
train,btcusdt,buy,binance,1,pos_1e4,30,613262,3131796086.854701,0.712790644228499,0.42059842946339154
train,btcusdt,buy,binance,1,pos_1e5,30,107391,569619709.9858999,-0.26996906378415,0.02725622663794974
train,btcusdt,buy,binance,1,neg_1e1,30,34970,137338132.3285,3.2685554893186977,2.4351345640811624
train,btcusdt,buy,binance,1,neg_1e2,30,1589027,6264715440.723002,-1.918031708868325,-1.5676571361322467
train,btcusdt,buy,binance,1,neg_1e3,30,1363592,5461162038.176003,-1.7252272269176772,-1.401546329806059
train,btcusdt,buy,binance,1,neg_1e4,30,486948,1993261580.2609005,-1.4427392825168923,-0.6795209508392642
train,btcusdt,buy,binance,1,neg_1e5,30,76222,323539571.7967998,1.4237942317061687,2.2389024145451506
train,btcusdt,buy,binance,1,neg_1e6,30,10206,50355978.184900016,-0.5654312753841344,0.7342768242874925
train,btcusdt,sell,binance,1,zero,30,97980518,309954816788.9504,-0.17024877157163143,-0.27932825579633347
train,btcusdt,sell,binance,1,pos_1e2,30,1085166,4136309246.7962976,-0.43667812333211875,-0.5294392565272135
train,btcusdt,sell,binance,1,pos_1e3,30,1095523,4319136960.283501,-0.13602355562706514,-0.165369675792485
train,btcusdt,sell,binance,1,pos_1e4,30,426643,1683879937.9116,-0.22917494931310128,-0.6100177469656272
train,btcusdt,sell,binance,1,pos_1e5,30,61927,257609580.3386001,2.6003781603210547,1.0058391775346516
train,btcusdt,sell,binance,1,neg_1e1,30,45913,204204568.06230012,-4.896765222604352,-4.883820638432297
train,btcusdt,sell,binance,1,neg_1e2,30,2395425,11979708096.81558,2.5681280157377517,1.778510841196436
train,btcusdt,sell,binance,1,neg_1e3,30,2029388,10270434105.683096,2.7750572747322186,2.02532482745773
train,btcusdt,sell,binance,1,neg_1e4,30,754185,3869006437.3113985,1.3589323770808988,0.9259477612833225
train,btcusdt,sell,binance,1,neg_1e5,30,148283,839377275.2887995,-2.241816463835146,-2.8716678402797684
train,btcusdt,sell,binance,1,neg_1e6,30,36245,214970246.31860018,5.415101696594507,6.123171560710052
train,btcusdt,buy,binance,5,zero,30,88285471,272819187653.8103,-0.2071497951185511,-0.24504881312501847
train,btcusdt,buy,binance,5,pos_1e0,30,2637,4701732.202999995,-1.1456433153105765,-0.006742712785668755
train,btcusdt,buy,binance,5,pos_1e1,30,30267,123836427.72270004,1.6606281286003868,1.1286902084552073
