split,date,symbol,venue,side,offset_seconds,rows,mean_return_bps,std_return_bps
train,2025-12-02,btcusdt,binance,sell,-120,551,15.061628589505304,12.488263039361991
train,2025-12-02,btcusdt,binance,buy,-60,1094,-16.859386565211935,12.43640982882744
train,2025-12-02,btcusdt,binance,sell,-60,551,11.57813802473825,9.469186939181178
train,2025-12-02,btcusdt,binance,buy,-30,1094,-12.055451764817786,10.033609335584735
train,2025-12-02,btcusdt,binance,sell,-30,551,8.02376837240859,6.556954749887525
train,2025-12-02,btcusdt,binance,buy,-10,1094,-6.862588407364752,6.429002332989856
train,2025-12-02,btcusdt,binance,sell,-10,551,4.182003851656981,3.9719677416753156
train,2025-12-02,btcusdt,binance,buy,-5,1094,-4.209241119113619,4.532278445502034
train,2025-12-02,btcusdt,binance,sell,-5,551,2.669168128075154,3.265748921336724
train,2025-12-02,btcusdt,binance,buy,-1,1094,-0.5856612738870095,2.155872345054025
train,2025-12-02,btcusdt,binance,sell,-1,551,0.11682828012069209,1.507587831572806
train,2025-12-02,btcusdt,binance,buy,0,1094,0.0,0.0
train,2025-12-02,btcusdt,binance,sell,0,551,0.0,0.0
train,2025-12-02,btcusdt,binance,buy,1,1094,0.22652433606998806,2.039557003727599
train,2025-12-02,btcusdt,binance,sell,1,551,0.07404494179145454,1.287159836118414
train,2025-12-02,btcusdt,binance,buy,5,1094,0.5987053822700849,4.799991608846749
train,2025-12-02,btcusdt,binance,sell,5,551,0.39137759554565754,2.7306944027331985
train,2025-12-02,btcusdt,binance,buy,10,1094,0.5816954494275619,6.731727523391498
train,2025-12-02,btcusdt,binance,sell,10,551,0.3536703618893083,3.7523330163082833
train,2025-12-02,btcusdt,binance,buy,30,1094,0.6405362714824159,9.843144906629183
train,2025-12-02,btcusdt,binance,sell,30,551,0.6979992831223794,5.660871030252551
train,2025-12-02,btcusdt,binance,buy,60,1094,0.2691503844308708,13.438437104943127
train,2025-12-02,btcusdt,binance,sell,60,551,1.2496993629366195,8.008251693027042
train,2025-12-02,btcusdt,binance,buy,120,1094,0.017268070431208333,15.730364407601776
train,2025-12-02,btcusdt,binance,sell,120,551,2.5543167132500493,9.95254888413239
train,2025-12-02,btcusdt,binance,buy,300,1094,3.67867680006372,23.403376580471132
train,2025-12-02,btcusdt,binance,sell,300,551,3.3615179367801398,16.05223091307759
train,2025-12-02,btcusdt,bybit,buy,-300,2629,-48.13139370450907,21.204487288668616
train,2025-12-02,btcusdt,bybit,sell,-300,396,22.106211239976396,18.477171617436877
train,2025-12-02,btcusdt,bybit,buy,-120,2629,-33.98500714957822,18.309966396661157
train,2025-12-02,btcusdt,bybit,sell,-120,396,17.879007647634353,14.39545543216358
train,2025-12-02,btcusdt,bybit,buy,-60,2629,-27.53772354740101,15.030487515455643
train,2025-12-02,btcusdt,bybit,sell,-60,396,13.957778516377294,11.689891051527718
train,2025-12-02,btcusdt,bybit,buy,-30,2629,-20.975439321397474,12.374298308205347
train,2025-12-02,btcusdt,bybit,sell,-30,396,9.35899349671133,8.899344440256586
train,2025-12-02,btcusdt,bybit,buy,-10,2629,-13.854267724828754,8.677514061574017
train,2025-12-02,btcusdt,bybit,sell,-10,396,5.923504924547913,6.747977322844137
train,2025-12-02,btcusdt,bybit,buy,-5,2629,-9.40559132328592,5.928915438443834
train,2025-12-02,btcusdt,bybit,sell,-5,396,4.612025916691328,6.3231972756537385
train,2025-12-02,btcusdt,bybit,buy,-1,2629,-1.6551337033703226,3.6859025336206175
train,2025-12-02,btcusdt,bybit,sell,-1,396,0.5525482210787321,3.7102573212548946
train,2025-12-02,btcusdt,bybit,buy,0,2629,0.0,0.0
train,2025-12-02,btcusdt,bybit,sell,0,396,0.0,0.0
train,2025-12-02,btcusdt,bybit,buy,1,2629,0.3068602676388438,3.154527675968416
train,2025-12-02,btcusdt,bybit,sell,1,396,0.29229761439696034,1.8853584838533421
train,2025-12-02,btcusdt,bybit,buy,5,2629,1.739860334477547,6.964713424860717
train,2025-12-02,btcusdt,bybit,sell,5,396,0.8818396107351892,3.750977735586808
train,2025-12-02,btcusdt,bybit,buy,10,2629,1.963165423037455,9.65338854464459
train,2025-12-02,btcusdt,bybit,sell,10,396,0.7347917707351317,5.25570487906332
train,2025-12-02,btcusdt,bybit,buy,30,2629,0.7212718135761,12.961513435870941
train,2025-12-02,btcusdt,bybit,sell,30,396,1.4276178050793145,6.4523254250498665
train,2025-12-02,btcusdt,bybit,buy,60,2629,1.2789944149127663,18.34874948880901
train,2025-12-02,btcusdt,bybit,sell,60,396,2.048900940358111,9.078149503355354
train,2025-12-02,btcusdt,bybit,buy,120,2629,-2.0136382054969366,16.07869326970038
train,2025-12-02,btcusdt,bybit,sell,120,396,3.3857274604046985,10.099901593093922
train,2025-12-02,btcusdt,bybit,buy,300,2629,1.4692914983790075,23.734541345044423
train,2025-12-02,btcusdt,bybit,sell,300,396,1.3615614880927132,15.93748074444568
train,2025-12-03,btcusdt,binance,buy,-300,1126,-22.864466538991852,26.568364643063322
train,2025-12-03,btcusdt,binance,sell,-300,641,27.41572313156528,31.334734723831726
train,2025-12-03,btcusdt,binance,buy,-120,1126,-17.509701186148227,15.667140232713919
train,2025-12-03,btcusdt,binance,sell,-120,641,22.77143496116205,21.316915336787552
train,2025-12-03,btcusdt,binance,buy,-60,1126,-12.60580910181374,10.319889814147407
train,2025-12-03,btcusdt,binance,sell,-60,641,16.459731619361687,14.802690945305116
train,2025-12-03,btcusdt,binance,buy,-30,1126,-9.580710297862334,8.595116139156076
train,2025-12-03,btcusdt,binance,sell,-30,641,11.469562532774138,9.99168734862781
train,2025-12-03,btcusdt,binance,buy,-10,1126,-5.310786654905523,5.106080666685951
train,2025-12-03,btcusdt,binance,sell,-10,641,5.978248941209228,6.467997159851652
train,2025-12-03,btcusdt,binance,buy,-5,1126,-3.3856343256933776,3.624891898668775
train,2025-12-03,btcusdt,binance,sell,-5,641,3.6208469930300167,4.458048393649081
train,2025-12-03,btcusdt,binance,buy,-1,1126,-0.40422373208825246,1.8076362642717023
train,2025-12-03,btcusdt,binance,sell,-1,641,0.3490050793557946,2.05883099067512
train,2025-12-03,btcusdt,binance,buy,0,1126,0.0,0.0
train,2025-12-03,btcusdt,binance,sell,0,641,0.0,0.0
train,2025-12-03,btcusdt,binance,buy,1,1126,0.14099897927721994,1.7021469827283457
train,2025-12-03,btcusdt,binance,sell,1,641,-0.06967437684087896,2.099161303685613
train,2025-12-03,btcusdt,binance,buy,5,1126,0.09924647649764914,3.9665424155607045
train,2025-12-03,btcusdt,binance,sell,5,641,-0.3386946432904293,4.769349880678832
train,2025-12-03,btcusdt,binance,buy,10,1126,-0.10988584768287481,5.637113721634501
train,2025-12-03,btcusdt,binance,sell,10,641,-0.42120426226668795,6.347541545322941
train,2025-12-03,btcusdt,binance,buy,30,1126,-1.0475649013796464,8.483092944812837
train,2025-12-03,btcusdt,binance,sell,30,641,-0.5086218703057054,10.658237374587848
train,2025-12-03,btcusdt,binance,buy,60,1126,-0.9669252236893788,10.354344601230359
train,2025-12-03,btcusdt,binance,sell,60,641,-2.00653221773982,14.131728961622589
train,2025-12-03,btcusdt,binance,buy,120,1126,-2.3673125435410434,16.078965951803426
train,2025-12-03,btcusdt,binance,sell,120,641,-1.1055357945051654,20.301688588931878
train,2025-12-03,btcusdt,binance,buy,300,1126,-5.316030420266913,23.807100596682034
train,2025-12-03,btcusdt,binance,sell,300,641,1.4923325309987365,23.754268049550927
train,2025-12-03,btcusdt,bybit,buy,-300,1888,-39.187477285178566,26.866887616286725
train,2025-12-03,btcusdt,bybit,sell,-300,814,65.28355183848018,42.85837002245978
train,2025-12-03,btcusdt,bybit,buy,-120,1888,-27.501258715997118,16.978666114129247
train,2025-12-03,btcusdt,bybit,sell,-120,814,50.90277618709823,32.677795238351564
train,2025-12-03,btcusdt,bybit,buy,-60,1888,-18.736532119509505,9.788717555769177
train,2025-12-03,btcusdt,bybit,sell,-60,814,37.37737214367403,28.226354015128504
train,2025-12-03,btcusdt,bybit,buy,-30,1888,-15.437536476732701,10.625449313723902
train,2025-12-03,btcusdt,bybit,sell,-30,814,25.474151351044775,17.146978409958503
train,2025-12-03,btcusdt,bybit,buy,-10,1888,-10.555811385817861,6.934634193320506
train,2025-12-03,btcusdt,bybit,sell,-10,814,17.458589027759622,11.7924553787927
train,2025-12-03,btcusdt,bybit,buy,-5,1888,-7.416745397839738,5.432529943083339
train,2025-12-03,btcusdt,bybit,sell,-5,814,11.36954029137851,9.484324808683525
train,2025-12-03,btcusdt,bybit,buy,-1,1888,-1.4226312429040673,3.529110231387601
train,2025-12-03,btcusdt,bybit,sell,-1,814,2.484261159571698,5.635834450597696
train,2025-12-03,btcusdt,bybit,buy,0,1888,0.0,0.0
train,2025-12-03,btcusdt,bybit,sell,0,814,0.0,0.0
train,2025-12-03,btcusdt,bybit,buy,1,1888,-0.10222077106851395,2.4490701891739874
train,2025-12-03,btcusdt,bybit,sell,1,814,-0.10423028813517855,3.666686254729114
train,2025-12-03,btcusdt,bybit,buy,5,1888,-1.0250695324236014,6.558345279880629
train,2025-12-03,btcusdt,bybit,sell,5,814,-0.04299395727420724,9.245151100395335
train,2025-12-03,btcusdt,bybit,buy,10,1888,-2.376771829582937,8.500802972058658
train,2025-12-03,btcusdt,bybit,sell,10,814,1.5668057211363673,13.095457703864595
train,2025-12-03,btcusdt,bybit,buy,30,1888,-4.410640134078635,12.696793239959447
train,2025-12-03,btcusdt,bybit,sell,30,814,-2.056576411511001,14.860320365055108
train,2025-12-03,btcusdt,bybit,buy,60,1888,-6.347122138693758,14.096132435823952
train,2025-12-03,btcusdt,bybit,sell,60,814,-5.6792196207115575,14.973612793644508
train,2025-12-03,btcusdt,bybit,buy,120,1888,-9.647399054836631,20.124932448028826
train,2025-12-03,btcusdt,bybit,sell,120,814,-8.219661204505359,28.889918721353908
train,2025-12-03,btcusdt,bybit,buy,300,1888,-16.787703408237732,27.026945573828524
