split,symbol,rows,mean_ofi,mean_next_return_bps,corr_ofi_next_return_bps
train,btcusdt,65653944,0.00403239639342916,-0.00002004099101552246,0.44500118464294186
validation,btcusdt,33515443,0.001810469281280275,-0.00004568923300673011,0.44541349611451514
train,ethusdt,72539958,0.04076095703005506,-0.000024975030992710498,0.42006518554009453
validation,ethusdt,35256988,0.08547011985255235,-0.00005582634981917899,0.42703655645365624
