split,date,symbol,side,price_location,rows,share_within_side
train,2025-12-06,btcusdt,sell,at_ask,306,0.00037930859233127276
train,2025-12-06,btcusdt,sell,inside_spread,1401,0.0017366383590069056
train,2025-12-06,btcusdt,sell,at_bid,381607,0.47302880390117646
train,2025-12-06,btcusdt,sell,below_bid,419490,0.5199874555459006
train,2025-12-06,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-06,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-07,btcusdt,buy,above_ask,1004532,0.6014048897539318
train,2025-12-07,btcusdt,buy,at_ask,637138,0.3814491809599302
train,2025-12-07,btcusdt,buy,inside_spread,7374,0.004414752000977065
train,2025-12-07,btcusdt,buy,at_bid,1739,0.0010411247260237477
train,2025-12-07,btcusdt,buy,below_bid,19526,0.011690052559137262
train,2025-12-07,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-07,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-07,btcusdt,sell,above_ask,18700,0.011207342427462423
train,2025-12-07,btcusdt,sell,at_ask,1561,0.000935543397287104
train,2025-12-07,btcusdt,sell,inside_spread,7627,0.004571037470281065
train,2025-12-07,btcusdt,sell,at_bid,650924,0.3901138054681043
train,2025-12-07,btcusdt,sell,below_bid,989737,0.5931722712368651
train,2025-12-07,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-07,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-08,btcusdt,buy,above_ask,1205238,0.5938282633041766
train,2025-12-08,btcusdt,buy,at_ask,798212,0.39328402000978513
train,2025-12-08,btcusdt,buy,inside_spread,5156,0.0025403932879616595
train,2025-12-08,btcusdt,buy,at_bid,1668,0.0008218339806671932
train,2025-12-08,btcusdt,buy,below_bid,19333,0.00952548941740938
train,2025-12-08,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-08,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-08,btcusdt,sell,above_ask,19883,0.009823102149788598
train,2025-12-08,btcusdt,sell,at_ask,1612,0.0007964009790001116
train,2025-12-08,btcusdt,sell,inside_spread,5450,0.0026925467342125363
train,2025-12-08,btcusdt,sell,at_bid,774646,0.38271019403134027
train,2025-12-08,btcusdt,sell,below_bid,1222515,0.6039777561056585
train,2025-12-08,btcusdt,sell,outside_or_ambiguous,0,0.0
train,2025-12-08,btcusdt,sell,missing_bbo,0,0.0
train,2025-12-09,btcusdt,buy,above_ask,1317449,0.5843390193458077
train,2025-12-09,btcusdt,buy,at_ask,900542,0.3994248196019067
train,2025-12-09,btcusdt,buy,inside_spread,7685,0.003408591424542834
train,2025-12-09,btcusdt,buy,at_bid,2275,0.0010090495108438448
train,2025-12-09,btcusdt,buy,below_bid,26646,0.011818520116898941
train,2025-12-09,btcusdt,buy,outside_or_ambiguous,0,0.0
train,2025-12-09,btcusdt,buy,missing_bbo,0,0.0
train,2025-12-09,btcusdt,sell,above_ask,28422,0.012774167973432319
train,2025-12-09,btcusdt,sell,at_ask,2671,0.0012004715592512042
train,2025-12-09,btcusdt,sell,inside_spread,8537,0.003836924635465193
train,2025-12-09,btcusdt,sell,at_bid,907870,0.40803897959468016
train,2025-12-09,btcusdt,sell,below_bid,1277459,0.5741494562371711
