split,date,venue,symbol,side,rows,mean_notional,notional_sum,clipped_turnover
validation,2026-02-27,bybit,btcusdt,buy,376,13789.678297340426,5184919.0398,2826828.0
validation,2026-02-27,bybit,btcusdt,sell,1672,12644.493206339712,21141592.641,11885805.083
validation,2026-02-28,binance,btcusdt,buy,990,16666.191740161616,16499529.82276,8495378.04542
validation,2026-02-28,binance,btcusdt,sell,926,9005.943922224622,8339504.07198,6882191.67198
validation,2026-02-28,bybit,btcusdt,buy,2420,17085.797585,41347630.1557,21759370.051799998
validation,2026-02-28,bybit,btcusdt,sell,2321,13479.559166393796,31286056.8252,17332443.0105
train,2025-12-01,binance,ethusdt,buy,837,7538.571502974911,6309784.347990001,4872091.187030001
train,2025-12-01,binance,ethusdt,sell,1862,8593.034214946296,16000229.708230002,10002387.91167
train,2025-12-01,bybit,ethusdt,buy,393,9870.645784732824,3879163.7934,2472983.7641000003
train,2025-12-01,bybit,ethusdt,sell,4303,11655.05342605159,50151694.892299995,28039233.6656
train,2025-12-02,binance,ethusdt,buy,994,9814.311449698189,9755425.581,5951108.93774
train,2025-12-02,binance,ethusdt,sell,660,7683.411929106061,5071051.87321,4349630.54135
train,2025-12-02,bybit,ethusdt,buy,1286,9969.46484836703,12820731.795,7860374.146600001
train,2025-12-02,bybit,ethusdt,sell,263,10820.906330038024,2845898.3648,1979908.6526000001
train,2025-12-03,binance,ethusdt,buy,1269,9969.26111888101,12650992.359860001,7923574.7262699995
train,2025-12-03,binance,ethusdt,sell,625,5884.157898832001,3677598.6867700005,3183169.0391599997
train,2025-12-03,bybit,ethusdt,buy,1562,7677.51269212548,11992274.8251,9079105.848299999
train,2025-12-03,bybit,ethusdt,sell,470,13104.362328085104,6159050.294199999,3860623.0506999996
train,2025-12-04,binance,ethusdt,buy,809,8716.851756143386,7051933.070719999,4641578.914999999
train,2025-12-04,binance,ethusdt,sell,978,10303.830139396727,10077145.87633,6616572.28974
train,2025-12-04,bybit,ethusdt,buy,634,12240.084755678232,7760213.735099999,4278983.3744
train,2025-12-04,bybit,ethusdt,sell,1046,11261.191862428299,11779206.6881,7712682.694
train,2025-12-05,binance,ethusdt,buy,793,9881.240550933166,7835823.75689,5562755.6435899995
train,2025-12-05,binance,ethusdt,sell,1135,7361.673449171806,8355499.36481,6871228.7503700005
train,2025-12-05,bybit,ethusdt,buy,458,7051.285541703057,3229488.7781,2643688.4433000004
train,2025-12-05,bybit,ethusdt,sell,1449,11303.941104899932,16379410.661000002,10750910.0183
train,2025-12-06,binance,ethusdt,buy,363,5060.118101625344,1836822.87089,1618818.73287
train,2025-12-06,binance,ethusdt,sell,391,6423.778693222507,2511697.4690500004,1879556.74539
train,2025-12-06,bybit,ethusdt,buy,200,11300.5176485,2260103.5297,1154184.1205000002
train,2025-12-06,bybit,ethusdt,sell,196,9245.175730612245,1812054.4432,1227257.0079
train,2025-12-07,binance,ethusdt,buy,692,10867.321871618498,7520186.735160001,4953048.35053
train,2025-12-07,binance,ethusdt,sell,805,13735.639447018631,11057189.754849998,5479955.897539999
train,2025-12-07,bybit,ethusdt,buy,650,12873.160446153848,8367554.290000001,5317379.1699
train,2025-12-07,bybit,ethusdt,sell,1661,11663.846393136662,19373648.858999997,13566144.046899999
train,2025-12-08,binance,ethusdt,buy,777,15070.557819691116,11709823.425899997,4455814.449139999
train,2025-12-08,binance,ethusdt,sell,640,9219.7330416875,5900629.146679999,3771328.73827
train,2025-12-08,bybit,ethusdt,buy,555,9579.821762342342,5316801.0781,3899743.0345
train,2025-12-08,bybit,ethusdt,sell,540,11133.065118148148,6011855.1638,3542829.2307
train,2025-12-09,binance,ethusdt,buy,1050,8025.972209485714,8427270.81996,6864422.073729999
train,2025-12-09,binance,ethusdt,sell,716,6048.662370265362,4330842.25711,3765689.0571100004
train,2025-12-09,bybit,ethusdt,buy,1714,15956.128320478412,27348803.941299997,15026007.049899999
train,2025-12-09,bybit,ethusdt,sell,407,10670.272407616709,4342800.8699,2922225.7317000004
train,2025-12-10,binance,ethusdt,buy,996,8921.916147951808,8886228.48336,5999098.96965
train,2025-12-10,binance,ethusdt,sell,810,8640.013496407408,6998410.93209,4971562.50875
train,2025-12-10,bybit,ethusdt,buy,1041,9170.974771661864,9546984.737300001,6932403.1824
train,2025-12-10,bybit,ethusdt,sell,784,11877.118424234694,9311660.8446,7008558.835600001
train,2025-12-11,binance,ethusdt,buy,784,9720.608803482142,7620957.301929999,4833957.30786
train,2025-12-11,binance,ethusdt,sell,1231,21656.06078317628,26658610.82409,9419878.9971
train,2025-12-11,bybit,ethusdt,buy,445,11839.25557775281,5268468.732100001,3970825.6474
train,2025-12-11,bybit,ethusdt,sell,1548,13370.276707041345,20697188.3425,11688303.8111
train,2025-12-12,binance,ethusdt,buy,523,7440.796082007648,3891536.35089,3025057.5109
train,2025-12-12,binance,ethusdt,sell,1008,7720.6118543452385,7782376.74918,5927678.83817
train,2025-12-12,bybit,ethusdt,buy,172,9761.971788372091,1679059.1475999998,1108730.1413999998
train,2025-12-12,bybit,ethusdt,sell,1981,13105.035041292276,25961074.4168,15326380.093999999
train,2025-12-13,binance,ethusdt,buy,263,6159.659227756653,1619990.3768999998,1396449.8819499998
train,2025-12-13,binance,ethusdt,sell,339,6305.987456371681,2137729.74771,1856655.62419
train,2025-12-13,bybit,ethusdt,buy,136,10032.247191911765,1364385.6181,876019.7061000001
train,2025-12-13,bybit,ethusdt,sell,208,9036.444161057692,1879580.3854999999,1544078.6628999999
train,2025-12-14,binance,ethusdt,buy,354,7891.527748418079,2793600.82294,2303208.70782
train,2025-12-14,binance,ethusdt,sell,710,5088.456384478873,3612804.0329799997,3211555.93498
train,2025-12-14,bybit,ethusdt,buy,128,14834.8436015625,1898859.981,893297.6379999998
train,2025-12-14,bybit,ethusdt,sell,1109,10897.147430387738,12084936.500300001,8799821.9076
train,2025-12-15,binance,ethusdt,buy,713,12729.23817286115,9075946.81725,5695007.59371
train,2025-12-15,binance,ethusdt,sell,1402,12627.235351212554,17703383.9624,8961018.87465
train,2025-12-15,bybit,ethusdt,buy,610,10826.744035737705,6604313.8618,4585158.0011
train,2025-12-15,bybit,ethusdt,sell,3285,11227.063409558601,36880903.300400004,22215252.296400003
train,2025-12-16,binance,ethusdt,buy,655,13344.394485496183,8740578.388,4355078.21992
train,2025-12-16,binance,ethusdt,sell,953,8970.900174994753,8549267.86677,5505322.92742
train,2025-12-16,bybit,ethusdt,buy,386,14492.519863212437,5594112.667200001,3026873.227
train,2025-12-16,bybit,ethusdt,sell,1355,8470.906875571955,11478078.816399999,8711124.501699999
train,2025-12-17,binance,ethusdt,buy,672,9437.639228526785,6342093.56157,5238699.8761599995
train,2025-12-17,binance,ethusdt,sell,1297,7290.657234834232,9455982.43358,7217868.55574
train,2025-12-17,bybit,ethusdt,buy,551,13632.018127586205,7511241.988299999,4371462.5013
train,2025-12-17,bybit,ethusdt,sell,3003,11117.736007192807,33386561.2296,20650087.9141
train,2025-12-18,binance,ethusdt,buy,886,9665.339387370204,8563490.69721,6532137.85597
train,2025-12-18,binance,ethusdt,sell,1047,8086.325944259791,8466383.263640001,6313982.18638
train,2025-12-18,bybit,ethusdt,buy,921,11719.570152877308,10793724.1108,6704240.4065
train,2025-12-18,bybit,ethusdt,sell,1543,10052.245411860013,15510614.6705,10458891.4966
train,2025-12-19,binance,ethusdt,buy,950,7259.133980673684,6896177.28164,5713268.731249999
train,2025-12-19,binance,ethusdt,sell,573,7770.349060453753,4452410.01164,3185542.66587
train,2025-12-19,bybit,ethusdt,buy,1053,8869.672494586894,9339765.136799999,6372652.672800001
train,2025-12-19,bybit,ethusdt,sell,332,12951.11555993976,4299770.365900001,2766787.9561
train,2025-12-20,binance,ethusdt,buy,253,3971.982534466403,1004911.58122,939069.04942
train,2025-12-20,binance,ethusdt,sell,156,3195.0394735897435,498426.15788,498426.15788
train,2025-12-20,bybit,ethusdt,buy,47,10446.5458893617,490987.6567999999,252953.08300000004
train,2025-12-20,bybit,ethusdt,sell,68,3133.668244117647,213089.4406,213089.4406
train,2025-12-21,binance,ethusdt,buy,507,5078.907191400394,2575005.94604,2289579.55852
train,2025-12-21,binance,ethusdt,sell,363,4316.037436198348,1566721.5893400002,1506167.07782
train,2025-12-21,bybit,ethusdt,buy,314,7359.959638853504,2311027.3266000003,1687257.971
train,2025-12-21,bybit,ethusdt,sell,329,7495.803913981763,2466119.4877,1977583.1097
train,2025-12-22,binance,ethusdt,buy,575,12982.185722243477,7464756.79029,3529859.0980700003
train,2025-12-22,binance,ethusdt,sell,574,9315.690247038327,5347206.2018,3489214.21809
train,2025-12-22,bybit,ethusdt,buy,710,9201.544111267605,6533096.319,4973938.1673
train,2025-12-22,bybit,ethusdt,sell,608,14697.499415789474,8936079.6448,5331464.843800001
train,2025-12-23,binance,ethusdt,buy,406,7337.06300544335,2978847.5802100003,2461818.3776900005
train,2025-12-23,binance,ethusdt,sell,651,7892.5864108294945,5138073.753450001,3451452.5527100004
train,2025-12-23,bybit,ethusdt,buy,244,11220.391148360655,2737775.4402,1599279.8087000002
train,2025-12-23,bybit,ethusdt,sell,972,11279.287456069958,10963467.4073,6874362.4564
train,2025-12-24,binance,ethusdt,buy,296,5285.154747128379,1564405.8051500001,1364479.848
train,2025-12-24,binance,ethusdt,sell,469,10285.738212324093,4824011.22158,2521313.89988
train,2025-12-24,bybit,ethusdt,buy,193,14889.080201554401,2873592.4788999995,1009514.1829999998
train,2025-12-24,bybit,ethusdt,sell,478,10895.764910669455,5208175.6273,3766155.6851000004
train,2025-12-25,binance,ethusdt,buy,226,7669.724743716813,1733357.7920799996,1258413.8778
train,2025-12-25,binance,ethusdt,sell,411,4736.512386545012,1946706.59087,1884005.1362800002
train,2025-12-25,bybit,ethusdt,buy,127,12840.616036220474,1630758.2366000002,831273.3436
train,2025-12-25,bybit,ethusdt,sell,419,9884.335395704056,4141536.5308,2724400.8098
train,2025-12-26,binance,ethusdt,buy,415,7667.004526361446,3181806.87844,2483274.55745
train,2025-12-26,binance,ethusdt,sell,475,4890.928555263157,2323191.0637499997,2140070.0199100003
train,2025-12-26,bybit,ethusdt,buy,270,5683.4583859259255,1534533.7641999999,1399373.111
train,2025-12-26,bybit,ethusdt,sell,383,9067.680977545691,3472921.8143999996,2292975.0845
train,2025-12-27,binance,ethusdt,buy,159,14356.661371698114,2282709.1581,1375791.20743
train,2025-12-27,binance,ethusdt,sell,131,3133.467487557252,410484.24087,410484.24087
train,2025-12-27,bybit,ethusdt,buy,101,14682.732000990098,1482955.9320999999,723470.4992999999
train,2025-12-27,bybit,ethusdt,sell,39,4768.203538461539,185959.93800000002,185959.93800000002
train,2025-12-28,binance,ethusdt,buy,143,8106.876112307692,1159283.28406,980118.3187200001
train,2025-12-28,binance,ethusdt,sell,181,9585.767456519337,1735023.9096300001,856100.9819499999
train,2025-12-28,bybit,ethusdt,buy,52,3594.885467307693,186934.04430000004,186934.04430000004
train,2025-12-28,bybit,ethusdt,sell,92,11465.803753260867,1054853.9452999998,807370.1763
train,2025-12-29,binance,ethusdt,buy,544,12194.36732086397,6633735.82255,3635123.0916
train,2025-12-29,binance,ethusdt,sell,632,7067.320101677216,4466546.304260001,3744290.00854
train,2025-12-29,bybit,ethusdt,buy,598,16099.24429916388,9627348.0909,4777730.376300001
train,2025-12-29,bybit,ethusdt,sell,629,11034.847970111286,6940919.373199999,4340850.1216
train,2025-12-30,binance,ethusdt,buy,399,31304.279743934836,12490407.617829999,2506127.8437200002
train,2025-12-30,binance,ethusdt,sell,390,8158.633932128205,3181867.23353,2185892.71972
train,2025-12-30,bybit,ethusdt,buy,249,9372.573053012049,2333770.6902,1366365.4481999998
train,2025-12-30,bybit,ethusdt,sell,247,11640.539439271253,2875213.2414999995,1564963.0302999998
train,2025-12-31,binance,ethusdt,buy,369,7192.6163014092135,2654075.41522,2046695.0672799998
train,2025-12-31,binance,ethusdt,sell,450,14503.23887248889,6526457.492620001,2500739.99259
train,2025-12-31,bybit,ethusdt,buy,228,15355.953676754387,3501157.4383,1931220.5478
train,2025-12-31,bybit,ethusdt,sell,203,11578.345396551724,2350404.1155,1467895.3791
train,2026-01-01,binance,ethusdt,buy,290,7312.261464551724,2120555.82472,1867797.84732
train,2026-01-01,binance,ethusdt,sell,203,4986.19194137931,1012196.9641,847766.28265
train,2026-01-01,bybit,ethusdt,buy,80,10861.2540325,868900.3226000001,406393.77989999996
train,2026-01-01,bybit,ethusdt,sell,37,1294.0554621621625,47880.05210000001,47880.05210000001
train,2026-01-02,binance,ethusdt,buy,849,7943.189524299176,6743767.90613,5593261.67681
train,2026-01-02,binance,ethusdt,sell,390,7898.936680923078,3080585.3055600002,2323685.00693
train,2026-01-02,bybit,ethusdt,buy,1320,11053.813315,14591033.5758,10357494.6725
train,2026-01-02,bybit,ethusdt,sell,198,9357.85831010101,1852855.9454,1362094.0275
train,2026-01-03,binance,ethusdt,buy,294,5800.207816836734,1705261.09815,1488762.75204
train,2026-01-03,binance,ethusdt,sell,246,10451.096793414636,2570969.81118,1504288.93109
train,2026-01-03,bybit,ethusdt,buy,115,6677.10250173913,767866.7877,680796.2951
train,2026-01-03,bybit,ethusdt,sell,128,6601.03389140625,844932.3381,648217.4161
train,2026-01-04,binance,ethusdt,buy,395,13782.890583291139,5444241.7804,1987270.57858
train,2026-01-04,binance,ethusdt,sell,253,4303.2879188537545,1088731.84347,996753.1161699998
train,2026-01-04,bybit,ethusdt,buy,397,9164.849925944583,3638445.4206,2877502.034
train,2026-01-04,bybit,ethusdt,sell,125,8924.249699200001,1115531.2124,737435.5054
train,2026-01-05,binance,ethusdt,buy,755,12347.28864610596,9322202.92781,5245404.465220001
train,2026-01-05,binance,ethusdt,sell,513,8427.058216491228,4323080.86506,3481727.5454
train,2026-01-05,bybit,ethusdt,buy,1346,13476.356590861815,18139175.971300002,10712490.8851
train,2026-01-05,bybit,ethusdt,sell,330,6947.498015151515,2292674.3449999997,1753735.6676
train,2026-01-06,binance,ethusdt,buy,772,11609.015909183938,8962160.28189,6304600.9471700005
train,2026-01-06,binance,ethusdt,sell,590,15491.01318837288,9139697.78114,5709726.09443
train,2026-01-06,bybit,ethusdt,buy,773,10237.13667076326,7913306.646500001,5215110.8795
train,2026-01-06,bybit,ethusdt,sell,513,14205.16488362573,7287249.585299999,4340611.7477
train,2026-01-07,binance,ethusdt,buy,329,8682.194419574467,2856441.96404,1998530.41855
train,2026-01-07,binance,ethusdt,sell,788,11560.05330214467,9109322.00209,6334070.74898
train,2026-01-07,bybit,ethusdt,buy,87,7442.598627586207,647506.0806,528104.404
train,2026-01-07,bybit,ethusdt,sell,900,17166.835588777776,15450152.0299,8084881.5352
train,2026-01-08,binance,ethusdt,buy,430,8619.538519395348,3706401.56334,2760310.9539599996
train,2026-01-08,binance,ethusdt,sell,821,10482.909709878195,8606468.871809999,5589811.648949999
train,2026-01-08,bybit,ethusdt,buy,167,10939.33073532934,1826868.2327999999,949392.0773
train,2026-01-08,bybit,ethusdt,sell,1072,13539.36014561567,14514194.0761,7838647.6983
train,2026-01-09,binance,ethusdt,buy,409,7974.157410684597,3261430.3809700003,2340110.13322
train,2026-01-09,binance,ethusdt,sell,669,9403.012746083707,6290615.52713,4709376.52225
train,2026-01-09,bybit,ethusdt,buy,221,13483.571818552035,2979869.3718999997,1342064.6983
train,2026-01-09,bybit,ethusdt,sell,525,8997.376546095236,4723622.6866999995,3585253.2128999997
train,2026-01-10,binance,ethusdt,buy,54,4195.712131296296,226568.45509,226568.45509
train,2026-01-10,binance,ethusdt,sell,184,6859.390509402175,1262127.85373,595577.51092
train,2026-01-10,bybit,ethusdt,buy,12,5520.055775,66240.6693,66240.6693
train,2026-01-10,bybit,ethusdt,sell,47,1398.2383170212765,65717.2009,65717.2009
train,2026-01-11,binance,ethusdt,buy,206,7452.345898786407,1535183.2551499999,1317100.5898
train,2026-01-11,binance,ethusdt,sell,186,6165.756876344087,1146830.779,989822.83631
train,2026-01-11,bybit,ethusdt,buy,142,4297.641452816902,610265.0863,610265.0863
train,2026-01-11,bybit,ethusdt,sell,111,8877.9535990991,985452.8495000001,479658.6164999999
train,2026-01-12,binance,ethusdt,buy,396,15760.808796439393,6241280.2833899995,2920839.03733
train,2026-01-12,binance,ethusdt,sell,654,6823.298955886849,4462437.51715,4012414.7586499997
train,2026-01-12,bybit,ethusdt,buy,256,14394.272816796874,3684933.8411,1807930.0019999999
train,2026-01-12,bybit,ethusdt,sell,584,10230.346708047946,5974522.4775,3988978.9547
train,2026-01-13,binance,ethusdt,buy,789,39445.68539395437,31122645.77583,6623092.362059999
train,2026-01-13,binance,ethusdt,sell,318,50235.381531886786,15974851.327139998,2130768.81862
