strategy,date,rows,pnl_contribution,end_cumulative_pnl,turnover_contribution,fill_count,buy_fills,sell_fills,end_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks
avellaneda_stoikov_mid,2024-08-05,172758,-323.1313113000001,-323.1313113000001,796557.1312427002,12178,6096,6082,3222.0,35193.0,4602.80340707811,120.27108440708969
avellaneda_stoikov_mid,2024-08-06,172786,-70.74577469999917,-393.8770859999993,392319.46347310045,5288,2651,2637,3620.0,38599.0,6167.992273679581,92.78090817543088
avellaneda_stoikov_microprice,2024-08-05,172758,-320.3299038000035,-320.3299038000035,794366.1810454017,12155,6080,6075,752.0,38453.0,4565.893822572616,120.28425311707707
avellaneda_stoikov_microprice,2024-08-06,172786,-72.64152074999788,-392.97142455000136,389275.3094089016,5246,2632,2614,-1279.0,35851.0,6299.381535541074,92.77465766902411
