max_mid_move_ticks,split,score,final_pnl,max_drawdown,turnover,fill_count,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks,estimator_path,accepted_raw_transitions,filtered_transitions,filtered_share,max_abs_adjustment_ticks,median_state_count,min_state_count,max_state_count,converged,iterations
10.0,validation,-76.77411530462932,-69.66302135,71.10231480000007,304454.9077995999,3841,-3309.0,69480.0,8624.746293188264,90.27892239134209,data/processed/microprice_sensitivity/microprice_estimator_maxmove_10.npz,351095.0,167260,0.3226746148874806,1.637889859894569,175.0,31,125200,true,10
1.0,validation,-80.2138774921778,-72.81332719999975,73.99658284999978,305285.1564608012,3844,-4292.0,68765.0,8920.07178077435,90.2778922391342,data/processed/microprice_sensitivity/microprice_estimator_maxmove_1.npz,212451.0,305904,0.5901438203547762,0.1904934692422053,20.0,2,74294,true,9
5.0,validation,-80.98095243326094,-73.52133424999951,74.58721854999952,306149.71730390046,3853,-793.0,70320.0,8963.28261473465,90.27786330227444,data/processed/microprice_sensitivity/microprice_estimator_maxmove_5.npz,275324.0,243031,0.46885049821068575,0.8258892806083016,104.0,17,96668,true,9
2.0,validation,-81.97023471993778,-74.40952359999895,75.59811084999899,305999.9241848003,3849,-3944.0,70320.0,9000.349389432258,90.27638752242606,data/processed/microprice_sensitivity/microprice_estimator_maxmove_2.npz,228711.0,289644,0.5587753566571172,0.29037762199237666,37.0,5,79794,true,9
10.0,test,-432.3803268557928,-392.97142455000136,394.0835903500016,1183641.4904543033,17401,-1279.0,38453.0,5432.70791274049,106.5283408191142,data/processed/microprice_sensitivity/microprice_estimator_maxmove_10.npz,351095.0,167260,0.3226746148874806,1.637889859894569,175.0,31,125200,true,10
1.0,test,-433.54845757134893,-394.021957799999,395.25956319999926,1189325.1857178058,17469,3664.0,38637.0,5434.513500451462,106.5228625008682,data/processed/microprice_sensitivity/microprice_estimator_maxmove_1.npz,212451.0,305904,0.5901438203547762,0.1904934692422053,20.0,2,74294,true,9
2.0,test,-434.77694398543565,-395.13835059999985,396.38051609999974,1190163.5900528,17492,4000.0,36774.0,5417.754358345102,106.52650603106984,data/processed/microprice_sensitivity/microprice_estimator_maxmove_2.npz,228711.0,289644,0.5587753566571172,0.29037762199237666,37.0,5,79794,true,9
5.0,test,-438.8925207278085,-398.8759450999984,400.16028339999855,1187806.8060898122,17458,6034.0,38808.0,5472.878102354548,106.52246313059986,data/processed/microprice_sensitivity/microprice_estimator_maxmove_5.npz,275324.0,243031,0.46885049821068575,0.8258892806083016,104.0,17,96668,true,9
