strategy,split,vol_window_seconds,vol_floor,sigma_multiplier,score,final_pnl,max_drawdown,turnover,fill_count,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks
avellaneda_stoikov_microprice,validation,600.0,0.05,2.0,-33.32986839060451,-30.259725399999752,30.697687499999773,121827.42190059998,1523,-3124.0,32262.0,3742.406047803692,118.5636032177788
avellaneda_stoikov_microprice,validation,600.0,0.2,2.0,-33.32986839060451,-30.259725399999752,30.697687499999773,121827.42190059998,1523,-3124.0,32262.0,3742.406047803692,118.5636032177788
avellaneda_stoikov_microprice,validation,600.0,0.1,2.0,-33.32986839060451,-30.259725399999752,30.697687499999773,121827.42190059998,1523,-3124.0,32262.0,3742.406047803692,118.5636032177788
avellaneda_stoikov_microprice,validation,300.0,0.1,2.0,-33.35234337145406,-30.28296755000025,30.689844000000242,125410.73622049988,1571,4557.0,31341.0,3914.2145378783493,118.57826263093929
avellaneda_stoikov_microprice,validation,300.0,0.2,2.0,-33.35234337145406,-30.28296755000025,30.689844000000242,125410.73622049988,1571,4557.0,31341.0,3914.2145378783493,118.57826263093929
avellaneda_stoikov_microprice,validation,300.0,0.05,2.0,-33.35234337145406,-30.28296755000025,30.689844000000242,125410.73622049988,1571,4557.0,31341.0,3914.2145378783493,118.57826263093929
avellaneda_stoikov_microprice,validation,180.0,0.2,2.0,-37.18348048301934,-33.7722050499998,34.10884864999979,141474.26278520026,1783,1409.0,28349.0,3905.680195613172,118.60335088836159
avellaneda_stoikov_microprice,validation,180.0,0.1,2.0,-37.18348048301934,-33.7722050499998,34.10884864999979,141474.26278520026,1783,1409.0,28349.0,3905.680195613172,118.60335088836159
avellaneda_stoikov_microprice,validation,180.0,0.05,2.0,-37.18348048301934,-33.7722050499998,34.10884864999979,141474.26278520026,1783,1409.0,28349.0,3905.680195613172,118.60335088836159
avellaneda_stoikov_microprice,validation,60.0,0.1,2.0,-37.21771481380601,-33.77195160000048,34.45356665000045,150848.52394679986,1889,-744.0,28081.0,4065.488054864286,118.62237976734765
avellaneda_stoikov_microprice,validation,60.0,0.2,2.0,-37.21771481380601,-33.77195160000048,34.45356665000045,150848.52394679986,1889,-744.0,28081.0,4065.488054864286,118.62237976734765
avellaneda_stoikov_microprice,validation,60.0,0.05,2.0,-37.21771481380601,-33.77195160000048,34.45356665000045,150848.52394679986,1889,-744.0,28081.0,4065.488054864286,118.62237976734765
avellaneda_stoikov_microprice,validation,60.0,0.05,1.0,-76.50873555684721,-69.42113424999962,70.86754339999963,299748.5322848994,3784,-4601.0,58650.0,8469.668476184965,90.29164303489786
avellaneda_stoikov_microprice,validation,60.0,0.2,1.0,-76.50873555684721,-69.42113424999962,70.86754339999963,299748.5322848994,3784,-4601.0,58650.0,8469.668476184965,90.29164303489786
avellaneda_stoikov_microprice,validation,60.0,0.1,1.0,-76.50873555684721,-69.42113424999962,70.86754339999963,299748.5322848994,3784,-4601.0,58650.0,8469.668476184965,90.29164303489786
avellaneda_stoikov_microprice,validation,300.0,0.2,1.0,-76.77411530462932,-69.66302135,71.10231480000007,304454.9077995999,3841,-3309.0,69480.0,8624.746293188264,90.27892239134209
