date,split,rows,median_spread_ticks,p90_spread_ticks,p99_spread_ticks,fraction_one_tick_spread,fraction_spread_gt_10_ticks,mean_imbalance
2024-08-01,train,172786,1.0,1.0,6.0,0.9674510666373433,0.0033451784288078897,0.49915415229387794
2024-08-02,train,172791,1.0,1.0,7.0,0.9507034509899243,0.004323141830303662,0.503653360948094
2024-08-03,train,172779,1.0,1.0,7.0,0.9526794344220073,0.0038199086694563574,0.49804442114542996
2024-08-04,validation,172790,1.0,1.0,7.0,0.941570692748423,0.004375253197523005,0.5067815716434658
2024-08-05,test,172758,1.0,10.0,28.0,0.5885284617789046,0.08610889220759675,0.495596915555341
2024-08-06,test,172786,1.0,3.0,10.0,0.83766045860197,0.009057446783882954,0.5008013162768717
